fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	line	aoi	char_index_in_line	original_fixation_index	is_fixation_adjusted	reader_id	text_id	word_index_in_text	sent_index_in_text	char_index_in_text	word	character	text_id_numeric	text_domain_numeric	reader_discipline_numeric	level_of_studies_numeric	expert_reading_label_numeric	expert_reading_label	word_with_punct	word_index_in_sent	word_length	STTS_punctuation_before	STTS_punctuation_after	is_in_quote	is_in_parentheses	is_clause_beginning	is_sent_beginning	is_clause_end	is_sent_end	is_abbreviation	is_expert_technical_term	is_general_technical_term	contains_symbol	contains_hyphen	contains_abbreviation	STTS_PoS_tag	type	type_length_chars	PoS_tag	lemma	lemma_length_chars	syllables	type_length_syllables	annotated_type_frequency_normalized	type_frequency_normalized	lemma_frequency_normalized	familiarity_normalized	regularity_normalized	document_frequency_normalized	sentence_frequency_normalized	cumulative_syllable_corpus_frequency_normalized	cumulative_syllable_lexicon_frequency_normalized	cumulative_character_corpus_frequency_normalized	cumulative_character_lexicon_frequency_normalized	cumulative_character_bigram_corpus_frequency_normalized	cumulative_character_bigram_lexicon_frequency_normalized	cumulative_character_trigram_corpus_frequency_normalized	cumulative_character_trigram_lexicon_frequency_normalized	initial_letter_frequency_normalized	initial_bigram_frequency_normalized	initial_trigram_frequency_normalized	avg_cond_prob_in_bigrams	avg_cond_prob_in_trigrams	neighbors_coltheart_higher_freq_cum_freq_normalized	neighbors_coltheart_higher_freq_count_normalized	neighbors_coltheart_all_cum_freq_normalized	neighbors_coltheart_all_count_normalized	neighbors_levenshtein_higher_freq_cum_freq_normalized	neighbors_levenshtein_higher_freq_count_normalized	neighbors_levenshtein_all_cum_freq_normalized	neighbors_levenshtein_all_count_normalized	sent_surprisal_gpt2-base	text_surprisal_gpt2-base	sent_surprisal_gpt2-large	text_surprisal_gpt2-large	sent_surprisal_llama-7b	text_surprisal_llama-7b	sent_surprisal_llama-13b	text_surprisal_llama-13b	sent_surprisal_bert-base	text_surprisal_bert-base	FFD	SFD	FD	FPRT	FRT	TFT	TFC	RRT	RPD_inc	RPD_exc	RBRT	Fix	FPF	RR	FPReg	TRC_out	TRC_in	LP	SL_in	SL_out	mean_acc_tq	mean_acc_bq	gender_numeric	age	discipline_level_of_studies_numeric
1	physics	3	0	0	0	0	1	0	240	20	102	60	1	2	2	4	False	60	p5	1	1	2	Durch	u	11	1	0	1	0	non-expert_reading	Durch	1	5	0.0	0	0	0	0	1	0	0	0	0	0	0	0	0	APPR	Durch	5.0	appr	durch	5.0	durch	1.0	118.816598128	118.816598128	2421.46657369	127.204229178	15.8391767053	723.254582587	225.343151328	3354.08776063	2913.1242562	888763.408693	2113499.6875	209953.907515	365722.309266	106499.272005	73667.1546845	19121.5915224	897.590973444	345.266286317	0.00403861034932	0.0199934046953	2302.17582098	0.428085856899	2302.87887778	5.13703028279	2302.17582098	0.428085856899	2303.89258757	9.41788885179	6.07287073135376	6.072869777679443	6.127480506896973	6.127488136291504	14.789305686950684	14.704957008361816	17.98653221130371	17.807870864868164	0.7605844736099243	1.218620777130127	240	240	240	240	240	557	3	317	240	0	240	1	1	1	0	0	1	2	1	1	0.0	0.3333333333333333	0.0	27.0	1
2	physics	3	0	0	0	0	1	0	439	36	20	60	1	7	7	5	False	60	p5	2	1	7	Einführen	i	11	1	0	1	0	non-expert_reading	Einführen	2	9	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	NN	Einführen	9.0	nn	Einführen	9.0	ein-füh-ren	3.0	0.36787855482	0.36787855482	0.384228712812	251.857833709	209.333984024	4.79060033786	0.667292576758	21147.0245692	33643.6955796	2750945.08205	5938143.73411	542955.572443	950390.414301	368979.018553	510159.761642	14903.9783425	3644.7281691	2977.8869754	0.00136893928889	0.0762279450889	10.112572718	1.7123434276	10.5458519048	3.4246868552	10.112572718	1.7123434276	10.5703771418	4.28085856899	13.04931354522705	13.049314498901367	12.122695922851562	12.122699737548828	12.75971508026123	12.746121406555176	12.925297737121582	12.944299697875977	6.63633918762207	6.174899458885193	439	439	439	439	439	621	2	182	439	0	439	1	1	1	0	0	0	2	1	1	0.0	0.3333333333333333	0.0	27.0	1
3	physics	3	0	0	0	0	1	0	157	9	36	60	1	17	17	6	False	60	p5	3	1	17	der	r	11	1	0	1	0	non-expert_reading	der	3	3	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	ART	der	3.0	art	d	1.0	der	1.0	24738.5901996	26530.3631386	80100.3069113	26530.3631386	0.428085856899	9372.80956103	30912.3596552	38163.5169	19310.096833	1332151.97174	2710999.66609	487983.455471	535760.152056	398226.025843	178781.068331	110461.430317	53801.2331077	27238.2432288	0.129811235347	0.318759302208	0.0	0.0	25590.4497812	36.8153836934	0.0	0.0	33289.1996244	55.22307554	5.195308685302734	5.195308208465576	3.9913365840911865	3.991342067718506	7.017056465148926	7.011602401733398	6.973316192626953	6.9731221199035645	5.181074142456055	4.896823883056641	157	0	157	427	427	591	3	164	427	0	427	1	1	1	0	0	0	3	1	1	0.0	0.3333333333333333	0.0	27.0	1
4	physics	3	0	0	0	0	1	0	270	20	9	60	1	15	15	7	False	60	p5	3	1	15	der	d	11	1	0	1	0	non-expert_reading	der	3	3	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	ART	der	3.0	art	d	1.0	der	1.0	24738.5901996	26530.3631386	80100.3069113	26530.3631386	0.428085856899	9372.80956103	30912.3596552	38163.5169	19310.096833	1332151.97174	2710999.66609	487983.455471	535760.152056	398226.025843	178781.068331	110461.430317	53801.2331077	27238.2432288	0.129811235347	0.318759302208	0.0	0.0	25590.4497812	36.8153836934	0.0	0.0	33289.1996244	55.22307554	5.195308685302734	5.195308208465576	3.9913365840911865	3.991342067718506	7.017056465148926	7.011602401733398	6.973316192626953	6.9731221199035645	5.181074142456055	4.896823883056641	157	0	157	427	427	591	3	164	427	0	427	1	1	1	0	0	0	3	1	1	0.0	0.3333333333333333	0.0	27.0	1
5	physics	3	0	0	0	0	1	0	217	20	20	60	1	19	19	8	False	60	p5	4	1	19	effektiven	f	11	1	0	1	0	non-expert_reading	effektiven	4	10	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0	ADJA	effektiven	10.0	adja	effektiv	8.0	ef-fek-ti-ven	4.0	2.03559467	2.03559467	9.31141497644	4.8886972396	9.84597470869	25.4658228486	3.83305270835	11307.7202168	53117.3212099	3657284.06855	7979571.74291	485639.504997	892387.777293	378091.558383	473155.164	45007.5949345	17.0286895487	16.5790602039	0.000148183233871	0.103187769633	0.0	0.0	2.19909624992	2.5685151414	2.48522401478	0.428085856899	4.6843202647	2.9966009983	1.409867763519287	1.4098684787750244	1.7349321842193604	1.7349270582199097	9.880454063415527	9.930185317993164	8.78164005279541	8.783092498779297	1.2985143661499023	0.7965846061706543	217	0	217	575	575	1185	5	610	575	0	575	1	1	1	0	1	1	2	1	1	0.0	0.3333333333333333	0.0	27.0	1
6	physics	3	0	0	0	0	1	0	358	23	20	60	1	23	23	9	False	60	p5	4	1	23	effektiven	t	11	1	0	1	0	non-expert_reading	effektiven	4	10	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0	ADJA	effektiven	10.0	adja	effektiv	8.0	ef-fek-ti-ven	4.0	2.03559467	2.03559467	9.31141497644	4.8886972396	9.84597470869	25.4658228486	3.83305270835	11307.7202168	53117.3212099	3657284.06855	7979571.74291	485639.504997	892387.777293	378091.558383	473155.164	45007.5949345	17.0286895487	16.5790602039	0.000148183233871	0.103187769633	0.0	0.0	2.19909624992	2.5685151414	2.48522401478	0.428085856899	4.6843202647	2.9966009983	1.409867763519287	1.4098684787750244	1.7349321842193604	1.7349270582199097	9.880454063415527	9.930185317993164	8.78164005279541	8.783092498779297	1.2985143661499023	0.7965846061706543	217	0	217	575	575	1185	5	610	575	0	575	1	1	1	0	1	1	2	1	1	0.0	0.3333333333333333	0.0	27.0	1
7	physics	3	0	0	0	0	1	0	214	23	23	60	1	28	28	10	False	60	p5	5	1	28	Masse	M	11	1	0	1	0	non-expert_reading	Masse	5	5	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0	NN	Masse	5.0	nn	Masse	5.0	mas-se	2.0	42.6902625171	42.6902625171	74.6875217074	59.0158952721	22.2604645588	202.970172209	78.7405240574	9444.06380822	25191.568421	1572192.04206	3818342.6228	220763.348492	388401.869879	168155.202763	262916.206474	14815.8918663	4446.16386339	333.502347642	0.0326064718141	0.17185537437	0.0	0.0	129.599527323	22.6885504157	0.0	0.0	163.370778656	28.6817524123	10.353964805603027	10.353962898254396	9.798587799072266	9.798595428466797	7.857335567474365	7.767597198486328	11.030006408691406	11.024946212768556	6.608859062194824	0.6392892599105835	214	214	214	214	214	389	2	175	214	0	214	1	1	1	0	1	1	1	1	1	0.0	0.3333333333333333	0.0	27.0	1
8	physics	3	0	0	0	0	1	0	325	20	23	60	1	34	34	11	False	60	p5	6	1	34	können	ö	11	1	0	1	0	non-expert_reading	können	6	6	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	VMFIN	können	6.0	vmfin	können	6.0	kön-nen	2.0	410.429840994	800.364758945	3346.01895766	1040.34420287	6.84937371039	2247.92617433	1485.25360998	13304.9737663	21461.2282639	2256673.84632	4790724.23565	449157.928849	734790.965676	355872.813658	463296.346715	11052.747678	1430.29547098	1371.06702365	0.0301274059589	0.356573992093	0.0	0.0	97.994671925	8.56171713799	0.0	0.0	382.953400488	14.5549191346	7.902647972106934	7.902650833129883	10.06279468536377	10.06279182434082	1.530601143836975	1.522075653076172	2.110142230987549	2.092650413513184	4.026147365570068	0.0332623273134231	325	0	325	491	491	829	3	338	491	0	491	1	1	1	0	0	0	2	1	1	0.0	0.3333333333333333	0.0	27.0	1
9	physics	3	0	0	0	0	1	0	166	21	20	60	1	37	37	12	False	60	p5	6	1	37	können	e	11	1	0	1	0	non-expert_reading	können	6	6	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	VMFIN	können	6.0	vmfin	können	6.0	kön-nen	2.0	410.429840994	800.364758945	3346.01895766	1040.34420287	6.84937371039	2247.92617433	1485.25360998	13304.9737663	21461.2282639	2256673.84632	4790724.23565	449157.928849	734790.965676	355872.813658	463296.346715	11052.747678	1430.29547098	1371.06702365	0.0301274059589	0.356573992093	0.0	0.0	97.994671925	8.56171713799	0.0	0.0	382.953400488	14.5549191346	7.902647972106934	7.902650833129883	10.06279468536377	10.06279182434082	1.530601143836975	1.522075653076172	2.110142230987549	2.092650413513184	4.026147365570068	0.0332623273134231	325	0	325	491	491	829	3	338	491	0	491	1	1	1	0	0	0	2	1	1	0.0	0.3333333333333333	0.0	27.0	1
10	physics	3	0	0	0	0	1	0	226	19	21	60	1	41	41	13	False	60	p5	7	1	41	Elektronen	e	11	1	0	1	0	non-expert_reading	Elektronen	7	10	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0	NN	Elektronen	10.0	nn	Elektron	8.0	e-lek-tro-nen	4.0	4.22651584093	4.22651584093	5.39555213736	11.3715348834	32.9626109813	11.7243639848	7.43332893644	17938.5267904	46346.2872114	3461712.64292	7937577.8046	519718.76878	1028476.69929	357523.868962	506586.528994	14903.9783425	524.202415381	220.048601335	0.0183056392573	0.217913610928	0.0	0.0	1.16903629643	0.428085856899	0.0	0.0	1.34888803434	2.1404292845	3.731977701187134	3.731982469558716	4.35936975479126	4.359361171722412	10.618743896484377	10.650877952575684	7.427064418792725	7.461188316345215	0.0163442399352788	0.0159104578197002	226	0	226	418	418	804	4	386	418	0	418	1	1	1	0	0	0	3	1	2	0.0	0.3333333333333333	0.0	27.0	1
