fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	line	aoi	char_index_in_line	original_fixation_index	is_fixation_adjusted	reader_id	text_id	word_index_in_text	sent_index_in_text	char_index_in_text	word	character	text_id_numeric	text_domain_numeric	reader_discipline_numeric	level_of_studies_numeric	expert_reading_label_numeric	expert_reading_label	word_with_punct	word_index_in_sent	word_length	STTS_punctuation_before	STTS_punctuation_after	is_in_quote	is_in_parentheses	is_clause_beginning	is_sent_beginning	is_clause_end	is_sent_end	is_abbreviation	is_expert_technical_term	is_general_technical_term	contains_symbol	contains_hyphen	contains_abbreviation	STTS_PoS_tag	type	type_length_chars	PoS_tag	lemma	lemma_length_chars	syllables	type_length_syllables	annotated_type_frequency_normalized	type_frequency_normalized	lemma_frequency_normalized	familiarity_normalized	regularity_normalized	document_frequency_normalized	sentence_frequency_normalized	cumulative_syllable_corpus_frequency_normalized	cumulative_syllable_lexicon_frequency_normalized	cumulative_character_corpus_frequency_normalized	cumulative_character_lexicon_frequency_normalized	cumulative_character_bigram_corpus_frequency_normalized	cumulative_character_bigram_lexicon_frequency_normalized	cumulative_character_trigram_corpus_frequency_normalized	cumulative_character_trigram_lexicon_frequency_normalized	initial_letter_frequency_normalized	initial_bigram_frequency_normalized	initial_trigram_frequency_normalized	avg_cond_prob_in_bigrams	avg_cond_prob_in_trigrams	neighbors_coltheart_higher_freq_cum_freq_normalized	neighbors_coltheart_higher_freq_count_normalized	neighbors_coltheart_all_cum_freq_normalized	neighbors_coltheart_all_count_normalized	neighbors_levenshtein_higher_freq_cum_freq_normalized	neighbors_levenshtein_higher_freq_count_normalized	neighbors_levenshtein_all_cum_freq_normalized	neighbors_levenshtein_all_count_normalized	sent_surprisal_gpt2-base	text_surprisal_gpt2-base	sent_surprisal_gpt2-large	text_surprisal_gpt2-large	sent_surprisal_llama-7b	text_surprisal_llama-7b	sent_surprisal_llama-13b	text_surprisal_llama-13b	sent_surprisal_bert-base	text_surprisal_bert-base	FFD	SFD	FD	FPRT	FRT	TFT	TFC	RRT	RPD_inc	RPD_exc	RBRT	Fix	FPF	RR	FPReg	TRC_out	TRC_in	LP	SL_in	SL_out	mean_acc_tq	mean_acc_bq	gender_numeric	age	discipline_level_of_studies_numeric
1	physics	10	0	0	1	1	0	1	172	26	23	71	1	4	4	4	False	71	p1	1	1	4	Wenn	n	7	1	0	1	0	non-expert_reading	Wenn	1	4	0.0	0	0	0	0	1	0	0	0	0	0	0	0	0	KOUS	Wenn	4.0	kous	wenn	4.0	wenn	1.0	502.87363428	503.127061729	2088.08685224	508.669765289	2.9966009983	1427.22069539	953.002428635	2101.8782105	31.2502675537	1731384.25988	3602743.17417	407457.627523	687914.708174	225220.704038	279920.204796	13240.8075713	4570.94826919	612.771221224	0.00890783789423	0.0206676372901	2249.96159144	0.856171713799	2509.25874703	17.123434276	2249.96159144	0.856171713799	2515.39005628	20.5481211312	4.611685276031494	4.61168909072876	4.716205596923828	4.7162065505981445	23.63135528564453	23.637226104736328	16.750608444213867	16.460329055786133	0.9464226961135864	2.064915895462036	172	172	172	172	172	172	1	0	172	0	172	1	1	0	0	0	0	4	1	2	0.3333333333333333	0.6666666666666666	0.0	23.0	1
2	physics	10	0	0	1	1	0	1	255	23	26	71	1	10	10	5	False	71	p1	3	1	10	ruhendes	h	7	1	0	1	0	non-expert_reading	ruhendes	3	8	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	ADJA	ruhendes	8.0	adja	ruhend	6.0	ru-hen-des	3.0	0.359703475824	0.359703475824	7.7581499672	6.50736288081	5.56511613969	4.79060033786	0.682811008776	14063.1305924	14009.9658387	3234214.99135	6929830.30677	518841.517404	977817.018981	150671.74992	278863.260816	4443.89936651	505.792137482	149.121615966	0.00463499097727	0.156167895636	4.16929028796	0.856171713799	4.46359313181	2.1404292845	6.36021145888	1.2842575707	6.65451430274	2.5685151414	13.947380065917969	13.947380065917969	14.883590698242188	14.883610725402832	13.263408660888672	13.179258346557615	16.150634765625	16.109378814697266	2.3244222295470536	3.300208265078254	255	0	255	387	387	387	2	0	387	0	387	1	1	0	0	0	0	3	2	2	0.3333333333333333	0.6666666666666666	0.0	23.0	1
3	physics	10	0	0	1	1	0	1	132	34	23	71	1	15	15	6	False	71	p1	3	1	15	ruhendes	s	7	1	0	1	0	non-expert_reading	ruhendes	3	8	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	ADJA	ruhendes	8.0	adja	ruhend	6.0	ru-hen-des	3.0	0.359703475824	0.359703475824	7.7581499672	6.50736288081	5.56511613969	4.79060033786	0.682811008776	14063.1305924	14009.9658387	3234214.99135	6929830.30677	518841.517404	977817.018981	150671.74992	278863.260816	4443.89936651	505.792137482	149.121615966	0.00463499097727	0.156167895636	4.16929028796	0.856171713799	4.46359313181	2.1404292845	6.36021145888	1.2842575707	6.65451430274	2.5685151414	13.947380065917969	13.947380065917969	14.883590698242188	14.883610725402832	13.263408660888672	13.179258346557615	16.150634765625	16.109378814697266	2.3244222295470536	3.300208265078254	255	0	255	387	387	387	2	0	387	0	387	1	1	0	0	0	0	3	2	2	0.3333333333333333	0.6666666666666666	0.0	23.0	1
4	physics	10	0	0	1	1	0	1	165	38	34	71	1	20	20	7	False	71	p1	5	1	20	ein	e	7	1	0	1	0	non-expert_reading	ein	5	3	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	ART	ein	3.0	art	eine	4.0	ein	1.0	4621.55200817	4999.44503476	17543.4333976	4999.44503476	0.428085856899	5809.23325181	8404.82933604	11022.7206128	11717.9941609	1614569.79583	3344143.78548	401662.305848	493686.589782	324158.412201	289382.186491	45007.5949345	21503.4825387	20569.6023896	0.0272545875843	0.196343258894	0.0	0.0	1145.39396797	31.6783534106	13165.4578681	0.428085856899	22077.4630101	57.7915906814	10.812312126159668	10.812302589416504	7.909442901611328	7.90944766998291	10.316487312316896	10.28307819366455	10.531840324401855	10.532211303710938	4.712865352630615	0.0790770128369331	165	165	165	165	165	336	2	171	165	0	165	1	1	1	0	0	1	1	2	1	0.3333333333333333	0.6666666666666666	0.0	23.0	1
5	physics	10	0	0	1	1	0	1	154	23	38	71	1	28	28	8	False	71	p1	6	1	28	Photon	n	7	1	0	1	0	non-expert_reading	Photon	6	6	0.0	0	0	0	0	0	0	0	0	1	0	0	0	0	NN	Photon	6.0	nn	Photon	6.0	pho-ton	2.0	0.04087539498	0.04087539498	0.277952685864	4.46359313181	15.4110908484	0.504273719775	0.0775921600881	529.687893387	3655.42513206	1203252.05133	3006413.15422	244396.839688	414859.716265	220143.358676	294427.178315	10343.3797233	496.832250902	50.0805339295	3.3684e-05	0.1006119042	2.4525236988	1.7123434276	2.46887385679	2.5685151414	4.4962934478	2.1404292845	4.54534392177	3.4246868552	10.84934425354004	10.849340438842772	7.20319128036499	7.203207969665527	6.653913974761963	6.649751663208008	3.9191622734069824	3.889474630355835	0.0285934477578848	0.0054486630251631	154	0	154	315	315	315	2	0	486	171	315	1	1	0	1	1	0	6	1	-1	0.3333333333333333	0.6666666666666666	0.0	23.0	1
6	physics	10	0	0	1	1	0	1	161	21	23	71	1	23	23	9	False	71	p1	6	1	23	Photon	P	7	1	0	1	0	non-expert_reading	Photon	6	6	0.0	0	0	0	0	0	0	0	0	1	0	0	0	0	NN	Photon	6.0	nn	Photon	6.0	pho-ton	2.0	0.04087539498	0.04087539498	0.277952685864	4.46359313181	15.4110908484	0.504273719775	0.0775921600881	529.687893387	3655.42513206	1203252.05133	3006413.15422	244396.839688	414859.716265	220143.358676	294427.178315	10343.3797233	496.832250902	50.0805339295	3.3684e-05	0.1006119042	2.4525236988	1.7123434276	2.46887385679	2.5685151414	4.4962934478	2.1404292845	4.54534392177	3.4246868552	10.84934425354004	10.849340438842772	7.20319128036499	7.203207969665527	6.653913974761963	6.649751663208008	3.9191622734069824	3.889474630355835	0.0285934477578848	0.0054486630251631	154	0	154	315	315	315	2	0	486	171	315	1	1	0	1	1	0	6	1	-1	0.3333333333333333	0.6666666666666666	0.0	23.0	1
7	physics	10	0	0	1	1	0	1	171	30	21	71	1	21	21	10	False	71	p1	5	1	21	ein	i	7	1	0	1	0	non-expert_reading	ein	5	3	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	ART	ein	3.0	art	eine	4.0	ein	1.0	4621.55200817	4999.44503476	17543.4333976	4999.44503476	0.428085856899	5809.23325181	8404.82933604	11022.7206128	11717.9941609	1614569.79583	3344143.78548	401662.305848	493686.589782	324158.412201	289382.186491	45007.5949345	21503.4825387	20569.6023896	0.0272545875843	0.196343258894	0.0	0.0	1145.39396797	31.6783534106	13165.4578681	0.428085856899	22077.4630101	57.7915906814	10.812312126159668	10.812302589416504	7.909442901611328	7.90944766998291	10.316487312316896	10.28307819366455	10.531840324401855	10.532211303710938	4.712865352630615	0.0790770128369331	165	165	165	165	165	336	2	171	165	0	165	1	1	1	0	0	1	1	2	1	0.3333333333333333	0.6666666666666666	0.0	23.0	1
8	physics	10	0	0	1	1	0	1	198	28	30	71	1	33	33	11	False	71	p1	7	1	33	absorbiert	r	7	1	0	1	0	non-expert_reading	absorbiert,	7	10	0.0	$,	0	0	0	0	0	0	0	0	0	0	0	0	VVFIN	absorbiert	10.0	vvfin	absorbieren	11.0	ab-sor-biert	3.0	0.694881714659	1.80669245811	2.47704893579	46.1401458534	100.172090514	17.1453064724	3.41405504388	4645.44776408	13601.5719313	2886152.44379	7030717.72875	449131.539694	760763.3627	156919.79112	178832.010548	41334.1231877	4277.97796321	288.008033029	0.0600803138959	0.371036827896	0.0	0.0	0.228902211888	0.856171713799	0.0	0.0	0.425104107792	2.1404292845	6.657103538513184	6.657107830047607	4.646875381469727	4.646896839141846	1.9637072086334229	1.9659550189971924	0.713686466217041	0.7137985825538635	30.09487580947461	30.43098727508004	198	198	198	198	198	198	1	0	198	0	198	1	1	0	0	0	0	5	2	1	0.3333333333333333	0.6666666666666666	0.0	23.0	1
9	physics	10	0	0	1	1	0	1	116	29	28	71	1	41	41	12	False	71	p1	8	1	41	so	o	7	1	0	1	0	non-expert_reading	so	8	2	0.0	0	0	0	1	0	0	0	0	0	0	0	0	0	ADV	so	2.0	adv	so	2.0	so	1.0	2876.40154474	2881.65812053	3315.19890985	0.0	0.0	3533.31988603	5044.40599322	7559.98605233	8425.15774964	385490.57713	1127504.08822	67552.2555341	43642.0688533	67539.3225592	31723.3024255	48925.779496	8037.09183762	-0.00817507899599	0.0178285087072	0.131475681059	0.0	0.0	1397.905808	42.8085856899	0.0	0.0	1576.88281246	60.3601058228	0.3170735836029053	0.3170749843120575	0.0075977169908583	0.0075979535467922	10.54856300354004	10.560314178466797	6.52766752243042	6.5381388664245605	0.026580361649394	0.005162005778402	116	116	116	116	116	116	1	0	116	0	116	1	1	0	0	0	0	2	1	2	0.3333333333333333	0.6666666666666666	0.0	23.0	1
10	physics	10	0	0	1	1	0	1	142	24	29	71	1	47	47	13	False	71	p1	10	1	47	es	e	7	1	0	1	0	non-expert_reading	es	10	2	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	PPER	es	2.0	pper	es	2.0	es	1.0	4482.240487	4482.240487	7209.6675672	0.0	0.0	4656.84173369	7605.13349731	6486.72898142	1792.39548284	1041972.78488	2352798.39725	160713.918858	229470.714647	137226.941427	157414.447041	45007.5949345	4564.40820599	-0.00817507899599	0.0578338146002	0.220031352121	4943.65829569	0.428085856899	6564.72741013	38.0996412641	12044.7362886	0.856171713799	13944.1259674	66.3533078194	0.0710196495056152	0.0710190907120704	0.0852112248539924	0.0852145105600357	8.704726219177246	8.676212310791016	3.650012254714966	3.663693904876709	0.0001630650076549	4.291525328881107e-06	142	142	142	142	142	142	1	0	227	85	142	1	1	0	1	1	0	1	2	-1	0.3333333333333333	0.6666666666666666	0.0	23.0	1
